Date,AAL,BHP,BP,CAT,CMI,CVX,DAL,DE,FCX,LUV,NEM,PCAR,RIO,SCCO,SHEL,TTE,UAL,UNP,URI,VALE,XOM
2013-07-01,18.242048263549805,25.812278747558594,19.40056037902832,60.139225006103516,86.39028930664062,72.53437042236328,18.202241897583008,65.41996002197266,23.60945701599121,11.958223342895508,22.726585388183594,23.411531448364258,18.027706146240234,16.285673141479492,35.13139724731445,25.236574172973633,34.849998474121094,59.59107971191406,55.180458068847656,5.83164119720459,55.002567291259766
2013-08-01,15.234705924987793,26.03860092163086,19.58782196044922,59.87084197998047,88.26862335205078,69.96167755126953,16.964672088623047,65.86883544921875,25.229066848754883,11.107810020446777,24.067455291748047,22.384214401245117,18.38414764404297,17.25566291809082,33.6668815612793,26.311689376831055,28.459999084472656,57.99177169799805,52.72564697265625,6.124923229217529,51.48969650268555
2013-09-01,17.874374389648438,27.86517906188965,19.934051513671875,60.494659423828125,95.19686126708984,70.58329010009766,20.28366470336914,64.48542785644531,27.61672019958496,12.62526798248291,21.456071853637695,23.240163803100586,19.87166976928711,17.09252166748047,34.23505401611328,27.941593170166016,30.709999084472656,58.67162322998047,56.1142578125,6.634979248046875,50.82803726196289
2013-10-01,20.71202850341797,29.620901107788086,22.054079055786133,60.88909912109375,91.00553894042969,69.68862915039062,22.6826229095459,64.84196472167969,30.98390007019043,14.931806564331055,20.814682006835938,23.21510887145996,20.662296295166016,17.538028717041016,34.75627899169922,29.514263153076172,33.95000076293945,57.18349838256836,62.17909622192383,6.992671012878418,52.94296646118164
2013-11-01,22.135570526123047,28.585908889770508,22.569751739501953,61.79485321044922,95.28062438964844,71.72660827636719,24.974340438842773,66.74349975585938,29.23916244506836,16.119752883911133,18.959226608276367,24.01364517211914,21.620018005371094,15.815756797790527,35.245216369628906,29.099384307861328,39.25,61.500553131103516,66.1645736694336,6.687122344970703,55.598976135253906
2013-12-01,23.80422592163086,28.5775203704834,23.33791732788086,66.33084869384766,101.47857666015625,73.173583984375,23.673049926757812,72.76820373535156,31.80992889404297,16.37194061279297,17.733646392822266,25.184823989868164,22.99751091003418,18.090450286865234,37.66005325317383,29.9711856842041,37.83000183105469,63.76261901855469,75.0404052734375,6.656566619873047,60.190589904785156
2014-01-01,31.628971099853516,26.79667091369629,22.51213264465332,69.04350280761719,91.40777587890625,65.39402770996094,26.37903594970703,68.48958587646484,27.55588150024414,18.205524444580078,16.63251304626465,23.835554122924805,21.66077423095703,17.630468368530273,36.51340103149414,27.96560287475586,45.84000015258789,66.13096618652344,77.91881561279297,5.936348915100098,54.813873291015625
2014-02-01,34.8154411315918,28.870847702026367,24.586427688598633,71.2932357788086,105.502685546875,68.16163635253906,28.675308227539062,68.46568298339844,27.734424591064453,19.500333786010742,17.910762786865234,28.11881446838379,23.352062225341797,19.297639846801758,39.00203323364258,31.74686622619629,44.959999084472656,68.81175231933594,85.04258728027344,6.185151100158691,57.6639289855957
2014-03-01,34.50433349609375,28.894512176513672,23.3670654296875,73.05773162841797,107.72236633300781,70.2774887084961,29.918678283691406,72.76602935791016,28.11703109741211,20.553937911987305,18.161422729492188,28.802143096923828,23.20389175415039,18.412132263183594,39.10370635986328,32.48765563964844,44.630001068115234,71.58893585205078,91.39624786376953,6.036742687225342,58.508480072021484
2014-04-01,33.06194305419922,30.075529098510742,24.59128189086914,77.94731903076172,109.06716918945312,74.1840591430664,31.801002502441406,74.80156707763672,29.50052833557129,21.041444778442383,19.238405227661133,27.324443817138672,22.5638427734375,19.06360626220703,42.143798828125,35.280792236328125,40.869998931884766,72.6456527709961,90.32767486572266,5.9332051277160645,61.341670989990234
